523704,9359,3134,417,241,1146,59,905,,,136,12,756,,77,,173,,1074,88,,2251,2042,11,294,28
523917,637,193,16,28,65,1,49,,,1,4,40,,4,,10,,112,13,,214,128,2,21
524891,312,92,4,7,19,,17,,,2,2,18,,1,,14,,54,4,,54,95,3,8
525227,112,28,3,4,17,1,4,,,,1,11,,,,4,,4,1,,20,25,,,1
525588,914,319,20,40,114,10,95,,,12,2,143,,9,,16,,195,4,,357,245,,48,4
525804,483,158,14,10,33,,24,,,2,1,23,,4,,10,,75,4,,105,139,,11,1
525880,154,66,7,7,20,,3,,,,1,30,,1,,,,13,1,,50,50,,4,2
525979,248,76,5,8,19,2,12,,,5,,28,,2,,10,,33,2,,72,101,,5,1
526169,80,22,3,5,18,,10,,,3,1,10,,1,,2,,11,1,,32,26,,7,3
526622,78,42,2,4,11,1,10,,,,,2,,,,2,,14,,,39,30,,2
528196,54,25,2,3,12,1,23,,,1,,2,,,,,,9,,,14,20,,3
529303,5000,1666,208,217,1138,22,705,8,,58,29,415,,24,5,65,,601,43,,1542,1081,5,317,25
529451,1299,448,42,56,195,11,172,,,17,5,109,,7,,18,,178,20,,570,275,,51,9
529478,31,10,2,3,15,,7,,,,,7,,,,,,5,,,10,7,,1
529486,433,159,20,21,76,4,54,,,4,3,92,,4,,7,,36,7,,108,105,1,12,2
529516,757,233,51,39,232,6,147,,,4,5,78,,5,1,8,,75,3,,284,186,1,64,6
529524,10,1,,,,,5,,,,,3,,,,,,2,,,8,2
529532,70,23,8,4,11,1,29,,,1,,32,,2,,1,,10,1,,30,23,1,4
529541,43,22,1,,18,,9,,,,,4,,,,2,,11,1,,13,11,,1,1
529559,24,20,2,1,8,,5,,,,,1,,1,,1,,2,,,10,20,2,1
529567,127,30,19,9,76,1,26,,,3,,14,,,,4,,20,1,,96,23,,16,1
529575,57,3,,2,17,1,1,,,,1,2,,,,,,2,2,,13,9,,8
529583,60,15,,1,5,,,,,,,,,,1,3,,4,1,,10,14,,1
529591,71,12,8,5,13,1,15,,,,1,,,,,,,11,,,22,18,,6
529605,73,29,2,7,12,2,2,,,,,2,,,,1,,8,2,,25,31,1,2,1
529613,161,53,3,4,10,1,16,1,,,1,3,,2,,,,18,4,,52,19,,5,1
529621,456,139,18,17,87,4,56,,,2,1,60,,10,,10,,72,5,,155,137,,28,4
